tweet_text,all_hashtags
Now playing on Friday Jazz Session: That Old Black Magic.  I heard this tune when watching #TheStand on @NetflixANZ recently.   Listen live on @FineMusicSydney https://t.co/fEtpw6cLz1 #jazz https://t.co/CiiMtXP8p3,"['TheStand', 'jazz']"
Mr Rhythm Freddie Green New York City 1955 sublime #jazz #guitar #music #vinyl #vinylcollection @ North Narrabeen https://t.co/G40u2NlTNO,"['jazz', 'guitar', 'music', 'vinyl', 'vinylcollection']"
Chris Potter - I Had A Dream #jazz #nowplaying #singing  #music  https://t.co/8wqPjQsVQS,"['jazz', 'nowplaying', 'singing', 'music']"
Now playing on Friday Jazz Session: Bass House from the Ronnie Scott Quintet and the @BBCJazzon3 BBC Jazz Club 45 Session.   Listen live on @FineMusicSydney https://t.co/fEtpw6cLz1 #jazz https://t.co/qGZigl3vKz,['jazz']
"♪♫ ""So good-bye dear &amp; amen. Here's hoping we meet now &amp; then. It was great fun, but it was just one of those things."" - Cole Porter #jazz #lyric","['jazz', 'lyric']"
Back on @1btnradio 11am today with our new @higherloverec mix https://t.co/zDoaClbEaq #balearic #jazz #ambient #chillout #1btn https://t.co/F7rU1tDdOL,"['balearic', 'jazz', 'ambient', 'chillout', '1btn']"
"Zappa Plays Zappa - Inca Roads (Complete) via @YouTube  feat, George Duke  https://t.co/CLpLdxDQyw  #jazz #art #jfunk #blues #rock #fusionjazz #jazzlegends #jazzmusic #70s #seventies #luizsantoslist","['jazz', 'art', 'jfunk', 'blues', 'rock', 'fusionjazz', 'jazzlegends', 'jazzmusic', '70s', 'seventies', 'luizsantoslist']"
How I feel about #jazz aka “the biggest 'original cover' artists of all time”  #MusicianLife #MetalHead https://t.co/XvgS9R5fid,"['jazz', 'MusicianLife', 'MetalHead']"
Now playing on Friday Jazz Session: Oh Baby from Anat Cohen Tentet.   Listen live on @FineMusicSydney https://t.co/fEtpw6cLz1 #jazz https://t.co/0cpX48UC8s,['jazz']
Finally Vivek is getting some action... I am here for all of it... A very good episode with some important real life lessons. #GrownIsh #Vivek #Jazz #Skye,"['GrownIsh', 'Vivek', 'Jazz', 'Skye']"
Original Pop Song Jazz Remix Enjoy!  Youtube https://t.co/Fj47YO2cDh  Soundcloud https://t.co/c9n4HUIcec  #Pop #Jazz #Band #Acoustic #Vinyl #Guitar #Lounge #Music #Radio #Song #Audio #Sound #Soundcloud #Mix #Indie #Remix #Tokyo #Radio #Label #Japan #Youtube,"['Pop', 'Jazz', 'Band', 'Acoustic', 'Vinyl', 'Guitar', 'Lounge', 'Music', 'Radio', 'Song', 'Audio', 'Sound', 'Soundcloud', 'Mix', 'Indie', 'Remix', 'Tokyo', 'Radio', 'Label', 'Japan', 'Youtube']"
Now spinning you tunes on Friday Jazz Session! @wyntonmarsalis  Listen live on @FineMusicSydney https://t.co/fEtpw6cLz1 #jazz https://t.co/ommldoTfKN,['jazz']
"Jazz Cafe: Coffee Time Jazz Instrumental Music for Good Mood, Focus, Working, Study  Please check the full version on #youtube https://t.co/oKV1TmfMFH  #BGMC #BGMClife #BGMchannel #StayHome #Jazz #Focus #Working https://t.co/0EtkznvQpo","['youtube', 'BGMC', 'BGMClife', 'BGMchannel', 'StayHome', 'Jazz', 'Focus', 'Working']"
Monterey Peninsula  by https://t.co/JxZAatEZw6 via @Youtube SUBSCRIBE &amp; SHARE!  https://t.co/r4dvcT5cbK #funk  #fusionjazz  #drums #jazz #art #drummer #drumsolo  #latinjazz #brazilianjazz #instrumental   #percussion #freestyle #luizsantos #newvideo,"['funk', 'fusionjazz', 'drums', 'jazz', 'art', 'drummer', 'drumsolo', 'latinjazz', 'brazilianjazz', 'instrumental', 'percussion', 'freestyle', 'luizsantos', 'newvideo']"
If #HMRC hold music was a DJ mix... My #soul #jazz homage to freelancers and self employed https://t.co/LWddp7qKPS https://t.co/j0tagkOFpp  @thoughtland @Detroit67Book @JaniceForsyth @reallorraine,"['HMRC', 'soul', 'jazz']"
"First up tonight on Friday Jazz Session, Skylark from @wyntonmarsalis  Listen live on @FineMusicSydney https://t.co/fEtpw6cLz1 #jazz https://t.co/2zbQkiRmM7",['jazz']
Lakecia Benjamin - Acknowledgement #jazz #nowplaying #singing  #music  https://t.co/8wqPjQsVQS,"['jazz', 'nowplaying', 'singing', 'music']"
The hoof is also on Instagram @shakeahoof  Facebook @Shakeahoof  Web https://t.co/TY7HFwi2fB #newmusic #playlists #submissions #soul #house #funk #jazz #disco #hiphop https://t.co/VmthkIRdlv,"['newmusic', 'playlists', 'submissions', 'soul', 'house', 'funk', 'jazz', 'disco', 'hiphop']"
Frank Zappa - The Torture Never Stops   via @YouTube https://t.co/eZvVymnu2N  #jazz #art #jfunk #blues #rock #fusionjazz #jazzlegends #jazzmusic #70s #seventies #luizsantoslist,"['jazz', 'art', 'jfunk', 'blues', 'rock', 'fusionjazz', 'jazzlegends', 'jazzmusic', '70s', 'seventies', 'luizsantoslist']"
Good morning 7 - 10 @StreetSoundsDAB #breakfast show  #radio @djs @The_Tony_Patti  #fridaymorning #fridaynightfunkin #friday #streetsoundsradio #GoodMorningTwitterWorld  #soul #jazz #funk get ready for Brothers Johnson Melba Moore  Keni  &amp; more great tunes with me this morning 🎶 https://t.co/EEJZStRZ4m,"['breakfast', 'radio', 'fridaymorning', 'fridaynightfunkin', 'friday', 'streetsoundsradio', 'GoodMorningTwitterWorld', 'soul', 'jazz', 'funk']"
Stick with us through this Funky Friday evening JFSR is the home of real soul music Listen here https://t.co/Gn53mf0J8m @DJ_MWAVE_JFSR @robcoll3 #jfsr #jazz #funk #soul #radio #music #disco #housemusic #latinjazz #boogie #Reggae #newmusic #soulfulhouse #bekind https://t.co/HisYWUVf9Y,"['jfsr', 'jazz', 'funk', 'soul', 'radio', 'music', 'disco', 'housemusic', 'latinjazz', 'boogie', 'Reggae', 'newmusic', 'soulfulhouse', 'bekind']"
"Afternoon Delights with Craig Royale @JAZZYLADY2014, The Messenger with his Time Tunnel Click here to listen https://t.co/Gn53mf0J8m #jfsr #jazz #funk #soul #radio #music #disco #housemusic #boogie #reggae #latinjazz #NewMusic #bekind https://t.co/LtMTCIuzm4","['jfsr', 'jazz', 'funk', 'soul', 'radio', 'music', 'disco', 'housemusic', 'boogie', 'reggae', 'latinjazz', 'NewMusic', 'bekind']"
"Afro Brazilian conga solos by https://t.co/JxZAatEZw6 via @Youtube #SUBSCRIBE &amp; SHARE!  https://t.co/N13HCQWUBp #congas  #samba  #drums #jazz #art #drummer  #latinjazz #brazilianjazz #instrumental  #worldmusic #afrobrazil,#afrobraziljazz, #percussion","['SUBSCRIBE', 'congas', 'samba', 'drums', 'jazz', 'art', 'drummer', 'latinjazz', 'brazilianjazz', 'instrumental', 'worldmusic', 'afrobrazil', 'afrobraziljazz', 'percussion']"
"""I'm trying to play the truth of what I am, difficult because I'm always changing."" Charles Mingus #jazz #music","['jazz', 'music']"
Yayyyyyy! #Friday night is #jazz night at @artisansrestaurant_3201 in #houston! @ Artisans Restaurant https://t.co/E5lJtzNK8O,"['Friday', 'jazz', 'houston']"
@Cam_S1990 Between #DOGE #amcstock #jazz and #GME  my timeline feels like it’s ready to run through a brick wall. And I’m so here for it!!! #MikeConley #NBAAllStar,"['DOGE', 'amcstock', 'jazz', 'GME', 'MikeConley', 'NBAAllStar']"
FRIDAY JAZZ SESSION ALBUM OF THE WEEK  Crawfish Fiesta by Eamon Dilworth’s Crawfish Po’Boys.  Listen from 7pm on @FineMusicSydney https://t.co/fEtpw6cLz1 #jazz #newmusic #australianmusic https://t.co/ZwbpZ0kEQH,"['jazz', 'newmusic', 'australianmusic']"
"♪♫ ""Each time I have the opportunity to play, it's another chance to tell the #truth."" - Charles Lloyd #jazz #sax #flute  • https://t.co/GVk95xynaQ • https://t.co/Qqgu4ysE6X","['truth', 'jazz', 'sax', 'flute']"
#Nowplaying Bensound - The Jazz Piano  #Jazz [ https://t.co/ZlZG8wZfre] #360WiseMedia   https://t.co/bjVKv61EWA,"['Nowplaying', 'Jazz', '360WiseMedia']"
😔 Howard Johnson tuba innovator dies at age 79 #jazz https://t.co/49oF5VyXnf,['jazz']
coming soon。。。。 #jazz #hiphop #greenD https://t.co/vlFSqWBbvx,"['jazz', 'hiphop', 'greenD']"
Frank Zappa - Dog Breath Variations + Uncle Meat via @YouTube https://t.co/TDoybUvpSD   #jazz #art #jfunk #blues #rock #fusionjazz #jazzlegends #jazzmusic #70s #seventies #luizsantoslist,"['jazz', 'art', 'jfunk', 'blues', 'rock', 'fusionjazz', 'jazzlegends', 'jazzmusic', '70s', 'seventies', 'luizsantoslist']"
"""Charlie Parker forgive me. Forgive me for not answering your eyes – For not having made an indication Of that which you can devise – Charlie Parker, pray for me – Pray for me and everybody.""  J. Kerouac  #CharlieParker #Kerouac #Beat #Jazz https://t.co/aPBy4DRkkR","['CharlieParker', 'Kerouac', 'Beat', 'Jazz']"
Billie Eilish - Everything I Wanted #jazz #nowplaying #singing  #music  https://t.co/8wqPjQsVQS,"['jazz', 'nowplaying', 'singing', 'music']"
CaliFoxTwilight - 🦊 - #Happy #Birthday Jeebus  - #christmassongs #jazz https://t.co/Fb32wSceKM via @YouTube,"['Happy', 'Birthday', 'christmassongs', 'jazz']"
"Jazz Releases with Jake on #Mixcloud https://t.co/8P18uQhnP9  I have some latest releases of Jazz, Contemporary Crossover Artists and selected a few sounds you might not of got to yet  #Jazz #Contemporary #Crossover #Fusion #JazzAct https://t.co/iZVVFIRGO0","['Mixcloud', 'Jazz', 'Contemporary', 'Crossover', 'Fusion', 'JazzAct']"
New video up now. Something different. Music from a Jazz Bar.  https://t.co/7HyjToA4Wp #Jazz #youtubechannel #chill #relax #mindfulness #mentalhealthmatters #stressmanagement #vegan #ASMR #soothing #study #work #sleep #jazzmusic https://t.co/7tm6vaqEyR,"['Jazz', 'youtubechannel', 'chill', 'relax', 'mindfulness', 'mentalhealthmatters', 'stressmanagement', 'vegan', 'ASMR', 'soothing', 'study', 'work', 'sleep', 'jazzmusic']"
"""There aren’t many Black women singing #soul, #blues and #jazz who are in the mainstream . . . Why aren’t more Black women able to succeed or be visible in a genre that they’re at the origin of?” @celeste Debut album released today: Not Your Muse   https://t.co/6dyustl1cg","['soul', 'blues', 'jazz']"
#Nowplaying Wendy Marcini - You Will Find a Way  #Jazz [ https://t.co/ZlZG8wZfre] #360WiseMedia   https://t.co/bjVKv61EWA,"['Nowplaying', 'Jazz', '360WiseMedia']"
Place to Be(Tour Edition)(DVD付) / #上原ひろみ https://t.co/15sMpbimgU #Jazz #アマゾン #Amazon #AmazonJP,"['上原ひろみ', 'Jazz', 'アマゾン', 'Amazon', 'AmazonJP']"
George Coleman - Blondie's Waltz #jazz #nowplaying #singing  #music  https://t.co/8wqPjQsVQS,"['jazz', 'nowplaying', 'singing', 'music']"
String ties. #hannabach #guitaristsoftwitter #guitar #classicalguitar #acousticguitar #guitarist #guitarristas #classicalmusic #classicalcrossover #contemporaryclassical #worldmusic #jazz #accoustic #chillmusic #chill https://t.co/g3Y45RPYBl,"['hannabach', 'guitaristsoftwitter', 'guitar', 'classicalguitar', 'acousticguitar', 'guitarist', 'guitarristas', 'classicalmusic', 'classicalcrossover', 'contemporaryclassical', 'worldmusic', 'jazz', 'accoustic', 'chillmusic', 'chill']"
🎂#HappyBday 🎻Dave Young ~ One Finger Snap duet with Kenny Barron https://t.co/MCT15wjBxv #CazHareketi #Jazz,"['HappyBday', 'CazHareketi', 'Jazz']"
🎂#HappyBday 🎤 Salena Jones ~ All The Things You Are https://t.co/vgLkpF6hD0 #CazHareketi #Jazz,"['HappyBday', 'CazHareketi', 'Jazz']"
"🎂 🥁 Ed Shaughnessy ~ Three Little Words with Gene Ammons, Patti Bown, George Duvivier https://t.co/9al54IU1Xv #CazHareketi #Jazz","['CazHareketi', 'Jazz']"
Albert Ayler - Spiritual Unity - 01 - Ghosts_first variation  via @YouTube Feat. GARY PEACOCK back in the 60s  https://t.co/schx3TsYOH  #jazz #art #freejazz #jazzlegends #bass #sax  #modernjazz,"['jazz', 'art', 'freejazz', 'jazzlegends', 'bass', 'sax', 'modernjazz']"
Today's Edition of 'The Classical Musician Daily' is out! https://t.co/va20PcMRDu Stories via @sallywhitwell @28Michee #jazz #wesmontgomery,"['jazz', 'wesmontgomery']"
#otd in #jazz history 1/28/61 - Grant Green records his debut album at Englewood Cliffs. Swinging out of the gate. https://t.co/jdZ6Uco5nY,"['otd', 'jazz']"
Luiz Santos playing Invitation PART 2 via @youtube  Subscribe &amp; SHARE!    https://t.co/3UgtdeOQ4g  #modernjazz #jazzstandards #art  #drums #jazz #art #drummer  #instrumental   #luizsantos,"['modernjazz', 'jazzstandards', 'art', 'drums', 'jazz', 'art', 'drummer', 'instrumental', 'luizsantos']"
PRESS RELEASE! cc @DJThakzin @Tete_KrazyDood @Leko_MRSA @ParadiseAfrica_  @Yfm @SabbyTheDJ @zandazakuza @sunelmusicianza @Deejay_Buckz  #AfroFunk #Afrohouse #Madibuseng #AppleMusic #Spotify #YouTubeMusic #Kwaito #Jazz #jazzmusic   https://t.co/stp0aSW7C3 https://t.co/VTmGhhGmHU,"['AfroFunk', 'Afrohouse', 'Madibuseng', 'AppleMusic', 'Spotify', 'YouTubeMusic', 'Kwaito', 'Jazz', 'jazzmusic']"
Tomorrow I’ll be chatting with @y.y_jams in #India about #TheMusicalLife  9pm PT / 12am ET / 10:30 IST  #MusicEducation #Music #PianoDiva #Jazz #International @ Education https://t.co/4yejKF7K7r,"['India', 'TheMusicalLife', 'MusicEducation', 'Music', 'PianoDiva', 'Jazz', 'International']"
Pharoah Sanders - The Creator Has A Master Plan Karma (1969)  Pharoah Sanders-tenor sax Reggie Workman-bass Richard Davis-guitar James Spaulding-drums Julius Watkins-french horn Lonnie Liston Smith-keyboards  Nathaniel Bettis-percussion #MusicIsLife #Jazz https://t.co/KVQAnQFzre,"['MusicIsLife', 'Jazz']"
HOPE  by https://t.co/JxZAatEZw6  via @Youtube SUBSCRIBE &amp; SHARE!  https://t.co/rk41xsl8y7   #drums #jazz #art #drummer  #latinjazz #brazilianjazz #instrumental   #percussion #freestyle #luizsantos,"['drums', 'jazz', 'art', 'drummer', 'latinjazz', 'brazilianjazz', 'instrumental', 'percussion', 'freestyle', 'luizsantos']"
"@RocNation @rihanna #Hawaii #psychedelic #prophecy #Bible #revelation #rock #jazz #hiphop #hendrix #prince #hope #prayer #dreams #artist #showbiz #music #Hollywood #KailuaKona #Atlanta #NYC #Milwaukee #business #investor #recordlabel ""Trapped Dreams"" by Blue Turban Stone - https://t.co/7iKGKgFI5Y","['Hawaii', 'psychedelic', 'prophecy', 'Bible', 'revelation', 'rock', 'jazz', 'hiphop', 'hendrix', 'prince', 'hope', 'prayer', 'dreams', 'artist', 'showbiz', 'music', 'Hollywood', 'KailuaKona', 'Atlanta', 'NYC', 'Milwaukee', 'business', 'investor', 'recordlabel']"
"@ParadiseCityFC @SumerianRecords @paradisecitytv @andyblack #Hawaii #psychedelic #prophecy #Bible #revelation #rock #jazz #hiphop #hendrix #prince #hope #prayer #dreams #artist #showbiz #music #Hollywood #KailuaKona #Atlanta #NYC #Milwaukee #business #investor #recordlabel ""Trapped Dreams"" by Blue Turban Stone - https://t.co/7iKGKgFI5Y","['Hawaii', 'psychedelic', 'prophecy', 'Bible', 'revelation', 'rock', 'jazz', 'hiphop', 'hendrix', 'prince', 'hope', 'prayer', 'dreams', 'artist', 'showbiz', 'music', 'Hollywood', 'KailuaKona', 'Atlanta', 'NYC', 'Milwaukee', 'business', 'investor', 'recordlabel']"
Bill Evans trio + Toots Thielemans - Body &amp; Soul https://t.co/LC6vydrmb7  #Jazz #Blues #FreeJazz #BeBop #BlueNote   #JazzLovers #JazzCaféDeOriente #MadridJazz   #wearejazz #jazzmoderno #jazzinspain,"['Jazz', 'Blues', 'FreeJazz', 'BeBop', 'BlueNote', 'JazzLovers', 'JazzCaféDeOriente', 'MadridJazz', 'wearejazz', 'jazzmoderno', 'jazzinspain']"
Work  #MulgrewMiller #jazz https://t.co/i4nhGNVV3j,"['MulgrewMiller', 'jazz']"
